rms,distance,atom_a,atom_b
0.11656482316962409,7.074460146166129,3,62
0.11656482316962409,7.074460146166121,3,63
0.019248025963597537,9.449373165624088,3,64
0.020964590792195783,10.616110436172507,3,65
0.04668623512829958,7.337424650224688,3,66
0.022523708854067678,5.849484341885438,3,67
0.04668623512829958,7.337424650224688,3,68
0.14384828252428492,9.647821897259965,3,69
0.14384828252428492,9.647821897259963,3,70
0.046686235128299745,7.337424650224688,3,71
0.046686235128299745,7.337424650224689,3,72
0.020964590792195793,10.616110436172509,3,73
0.1438482825242848,9.647821897259965,3,74
0.020964590792195793,10.616110436172509,3,75
0.008045067189873996,9.647821897259965,3,76
0.008045067189874246,9.647821897259965,3,77
0.046686235128299704,7.337424650224688,3,78
0.046686235128299704,7.337424650224689,3,79
0.008045067189874246,9.647821897259965,3,80
0.393271712582977,4.429597434503725,4,1
0.0689860062667635,8.85919486900745,4,2
0.393271712582977,4.429597434503725,4,3
2.4083955725465436,0.0,4,4
0.3932717125829769,4.429597434503725,4,5
0.034097371609212786,7.672287813637207,4,6
0.034097371609212786,7.672287813637203,4,7
0.3932717125829768,4.429597434503724,4,8
0.03409733288190012,7.672287813637205,4,9
0.06898600626676371,8.85919486900745,4,10
0.03409737160921305,7.672287813637205,4,11
0.06898600626676371,8.85919486900745,4,12
0.03409733288189999,7.672287813637205,4,13
0.03409733288189999,7.672287813637203,4,14
0.393271712582977,4.429597434503725,4,15
0.393271712582977,4.429597434503726,4,16
0.03136274793165842,7.927333184396722,4,17
0.03136274793165842,7.927333184396772,4,18
0.2180597577799201,4.857977413792085,4,19
0.2180597577799201,4.857977413792058,4,20
0.2996772912985225,6.574289161930416,4,21
0.12833427487294116,10.103725960256515,4,22
0.29967729129852233,6.574289161930459,4,23
0.21805975777991995,4.857977413792086,4,24
0.031362747931658504,7.927333184396756,4,25
0.12833427487294122,10.103725960256527,4,26
0.12833427487294122,10.103725960256513,4,27
0.031362747931658504,7.9273331843967725,4,28
0.01795188026516935,11.032071959143629,4,29
0.031362747931658566,7.927333184396755,4,30
0.29967729129852244,6.574289161930417,4,31
0.031362747931658566,7.927333184396723,4,32
0.059736637372322786,6.981307568608171,4,33
0.059736637372322786,6.981307568608229,4,34
0.8296582171650062,3.081556182188201,4,35
0.8296582171650062,3.0815561821881587,4,36
0.02442590610111139,5.396046880424968,4,37
0.0069779435346577125,9.37983593838558,4,38
0.02442590610111139,5.396046880425018,4,39
0.8296582171650061,3.081556182188202,4,40
0.059736637372322904,6.981307568608211,4,41
0.006977943534657752,9.379835938385595,4,42
0.006977943534657752,9.37983593838558,4,43
0.059736637372322904,6.98130756860823,4,44
0.016792921703121286,10.373169991029329,4,45
0.059736637372322696,6.98130756860821,4,46
0.0244259061011115,5.396046880424968,4,47
0.05973663737232274,6.981307568608173,4,48
0.03417495339290625,5.516035979571814,4,49
0.01924802596359755,9.44937316562409,4,50
0.03417495339290625,5.5160359795718374,4,51
0.15533148789184717,3.287144580965208,4,52
0.15533148789184711,3.287144580965208,4,53
0.1165648231696239,7.074460146166122,4,54
0.1165648231696239,7.074460146166148,4,55
0.15533148789184714,3.2871445809652275,4,56
0.03417495339290637,5.5160359795718374,4,57
0.11656482316962406,7.07446014616613,4,58
0.03526103144545496,10.436090582923221,4,59
0.11656482316962406,7.074460146166148,4,60
0.019248025963597537,9.44937316562409,4,61
0.019248025963597537,9.449373165624108,4,62
0.11656482316962409,7.074460146166129,4,63
0.11656482316962409,7.07446014616612,4,64
0.04668623512829958,7.337424650224688,4,65
0.020964590792195783,10.616110436172507,4,66
0.04668623512829958,7.337424650224688,4,67
0.022523708854067678,5.849484341885438,4,68
0.046686235128299745,7.337424650224689,4,69
0.14384828252428492,9.647821897259966,4,70
0.14384828252428492,9.647821897259963,4,71
0.046686235128299745,7.337424650224688,4,72
0.008045067189873996,9.647821897259965,4,73
0.020964590792195793,10.616110436172507,4,74
0.1438482825242848,9.647821897259965,4,75
0.020964590792195793,10.616110436172507,4,76
0.008045067189874246,9.647821897259965,4,77
0.008045067189874246,9.647821897259965,4,78
0.046686235128299704,7.337424650224688,4,79
0.046686235128299704,7.337424650224689,4,80
0.393271712582977,4.429597434503725,5,1
0.03409733288189999,7.672287813637204,5,2
0.03409733288189999,7.672287813637204,5,3
0.393271712582977,4.429597434503725,5,4
2.4083955725465436,0.0,5,5
0.393271712582977,4.429597434503725,5,6
0.0689860062667635,8.85919486900745,5,7
0.393271712582977,4.429597434503724,5,8
0.3932717125829768,4.429597434503725,5,9
0.3932717125829769,4.429597434503725,5,10
0.034097371609212786,7.672287813637204,5,11
0.034097371609212786,7.672287813637203,5,12
0.06898600626676371,8.859194869007448,5,13
0.03409733288190012,7.672287813637203,5,14
0.06898600626676371,8.859194869007448,5,15
0.03409737160921305,7.672287813637205,5,16
0.031362747931658566,7.927333184396722,5,17
0.01795188026516935,11.032071959143629,5,18
0.031362747931658566,7.927333184396756,5,19
0.29967729129852244,6.574289161930418,5,20
0.2180597577799201,4.857977413792058,5,21
0.03136274793165842,7.927333184396722,5,22
0.03136274793165842,7.9273331843967725,5,23
0.2180597577799201,4.857977413792086,5,24
0.21805975777991995,4.857977413792086,5,25
0.2996772912985225,6.574289161930418,5,26
0.12833427487294116,10.103725960256515,5,27
0.29967729129852233,6.5742891619304595,5,28
0.031362747931658504,7.9273331843967725,5,29
0.031362747931658504,7.9273331843967565,5,30
0.12833427487294122,10.103725960256527,5,31
0.12833427487294122,10.103725960256513,5,32
0.05973663737232274,6.981307568608172,5,33
0.016792921703121286,10.37316999102933,5,34
0.059736637372322696,6.981307568608211,5,35
