quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s)
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
43,-0.397854,200.0,16.7993,4.71438e+19,-61446800000.0,-21.0661,-61446800000.0,4.71438e+19,41.6883,-21.0661,41.6883,3.55811e+17,-1.50207e-05,1.3776299999999999e-21,2.25369e-21,2.11948e-21,-1.50207e-05,-1.4285099999999999e-21,3.6287600000000004e-23,-4.8931800000000004e-23,2.8122e-05,247011000000000.0,-321952.0,-9.48816e-05,-321952.0,247011000000000.0,6.80623e-05,-9.48816e-05,6.80623e-05,1222770000000.0
44,-0.397854,300.0,16.7952,4.84646e+19,-63168400000.0,-20.0917,-63168400000.0,4.84646e+19,32.549,-20.0917,32.549,3.23491e+17,-2.04341e-05,-4.25749e-21,2.68984e-21,1.08621e-21,-2.04341e-05,-3.74202e-21,3.2596999999999997e-23,-4.8699e-23,1.48871e-05,375004000000000.0,-488777.0,-6.44518e-05,-488777.0,375004000000000.0,0.000112925,-6.44518e-05,0.000112925,1708770000000.0
45,-0.397854,400.0,16.7906,4.9328e+19,-64293800000.0,-17.5518,-64293800000.0,4.9328e+19,28.4903,-17.5518,28.4903,3.0193e+17,-2.41535e-05,1.05899e-21,2.3107499999999997e-21,1.2663699999999999e-21,-2.41535e-05,-5.0412799999999995e-21,2.4659999999999999e-23,-4.7927e-23,5.4015e-06,509248000000000.0,-663750.0,-1.11659e-05,-663750.0,509248000000000.0,0.000134164,-1.11659e-05,0.000134164,2186310000000.0
46,-0.397854,500.0,16.7862,5.00648e+19,-65254100000.0,-14.738,-65254100000.0,5.00648e+19,25.9411,-14.738,25.9411,2.8677e+17,-2.72428e-05,-2.25585e-21,1.36231e-21,3.05844e-22,-2.72428e-05,-5.57466e-21,1.46877e-23,-4.4049100000000004e-23,-3.85636e-06,645065000000000.0,-840773.0,4.42716e-05,-840773.0,645065000000000.0,0.000149713,4.42716e-05,0.000149713,2637120000000.0
47,-0.397854,600.0,16.7824,5.07153e+19,-66102000000.0,-12.1048,-66102000000.0,5.07153e+19,24.1501,-12.1048,24.1501,2.75432e+17,-3.01264e-05,-1.49418e-21,2.47338e-22,-1.70234e-21,-3.01264e-05,-5.6419099999999995e-21,5.446160000000001e-24,-3.88265e-23,-1.29366e-05,779658000000000.0,-1016200.0,9.15069e-05,-1016200.0,779658000000000.0,0.000160394,9.15069e-05,0.000160394,3038260000000.0
48,-0.397854,700.0,16.7792,5.12847e+19,-66844100000.0,-9.77597,-66844100000.0,5.12847e+19,22.8159,-9.77597,22.8159,2.66464e+17,-3.3032e-05,-6.06087e-21,-7.6985599999999995e-22,1.36154e-21,-3.3032e-05,-5.4628e-21,-1.7832e-24,-3.35572e-23,-2.14027e-05,911165000000000.0,-1187600.0,0.000125218,-1187600.0,911165000000000.0,0.000165479,0.000125218,0.000165479,3378840000000.0
49,-0.397538,100.0,16.7935,4.40597e+19,-57427000000.0,-23.8204,-57427000000.0,4.40597e+19,70.5014,-23.8204,70.5014,3.54241e+17,-5.737e-06,6.66215e-22,1.32957e-21,8.9629e-22,-5.737e-06,8.81759e-21,4.50462e-23,-3.07911e-23,5.78107e-05,124924000000000.0,-162826.0,-4.54702e-05,-162826.0,124924000000000.0,1.88471e-05,-4.54702e-05,1.88471e-05,738156000000.0
50,-0.397538,200.0,16.7911,4.7799e+19,-62300900000.0,-22.1346,-62300900000.0,4.7799e+19,42.0148,-22.1346,42.0148,3.41655e+17,-1.65543e-05,-1.4251599999999998e-21,2.23018e-21,-4.70198e-22,-1.65543e-05,5.74266e-22,3.89981e-23,-3.96617e-23,3.32374e-05,249491000000000.0,-325185.0,-9.74282e-05,-325185.0,249491000000000.0,7.77191e-05,-9.74282e-05,7.77191e-05,1270300000000.0
51,-0.397538,300.0,16.787,4.90943e+19,-63989100000.0,-20.944,-63989100000.0,4.90943e+19,33.5377,-20.944,33.5377,3.18362e+17,-2.10087e-05,-5.11637e-22,2.34723e-21,-1.18843e-21,-2.10087e-05,-2.9501999999999998e-21,3.20077e-23,-4.60116e-23,1.83403e-05,377385000000000.0,-491880.0,-6.4419e-05,-491880.0,377385000000000.0,0.000121518,-6.4419e-05,0.000121518,1748320000000.0
52,-0.397538,400.0,16.7823,4.98975e+19,-65036100000.0,-18.1798,-65036100000.0,4.98975e+19,29.5121,-18.1798,29.5121,2.99858e+17,-2.45328e-05,-2.4991300000000002e-23,1.83478e-21,-2.88678e-22,-2.45328e-05,-4.50603e-21,2.28264e-23,-4.6235e-23,7.85533e-06,511852000000000.0,-667144.0,-7.67521e-06,-667144.0,511852000000000.0,0.000139874,-7.67521e-06,0.000139874,2234290000000.0
